korean_name,english_name
타이레놀정500mg,Acetaminophen 500mg (Tylenol)
타이레놀이알서방정650mg,Acetaminophen ER 650mg (Tylenol ER)
게보린정,Acetaminophen/Caffeine/Ethenzamide combination (Geworin)
낙센정,Naproxen 250mg (Naxen)
아스피린프로텍트정100mg,Aspirin (enteric-coated) 100mg
아목시실린캡슐250mg,Amoxicillin 250mg capsule
오구멘틴정625mg,Amoxicillin/Clavulanate 625mg (Augmentin)
클래리시드정250mg,Clarithromycin 250mg (Klaricid)
세프디토렌픽소틸정,Cefditoren pivoxil
자이로릭정100mg,Allopurinol 100mg (Zyloric)
리피토정10mg,Atorvastatin 10mg (Lipitor)
크레스토정10mg,Rosuvastatin 10mg (Crestor)
노바스크정5mg,Amlodipine 5mg (Norvasc)
아모디핀정5mg,Amlodipine 5mg
디오반정80mg,Valsartan 80mg (Diovan)
트윈스타정40/5mg,Telmisartan/Amlodipine 40/5mg (Twynsta)
자누비아정100mg,Sitagliptin 100mg (Januvia)
메트포르민정500mg,Metformin 500mg
글루코파지정500mg,Metformin 500mg (Glucophage)
란스톤캡슐15mg,Lansoprazole 15mg (Lanston)
판토록정40mg,Pantoprazole 40mg (Pantoloc)
가스터정20mg,Famotidine 20mg (Gaster)
무코스타정,Rebamipide (Mucosta)
motilium정,Domperidone (Motilium)
트라마돌염산염캡슐,Tramadol HCl
졸피뎀정10mg,Zolpidem 10mg
자낙스정0.25mg,Alprazolam 0.25mg (Xanax)
아티반정,Lorazepam (Ativan)
씨잘정5mg,Levocetirizine 5mg (Xyzal)
지르텍정10mg,Cetirizine 10mg (Zyrtec)
클라리틴정10mg,Loratadine 10mg (Claritin)
벤토린흡입제,Salbutamol inhaler (Ventolin)
심비코트터부헤일러,Budesonide/Formoterol inhaler (Symbicort)
포도당수액500ml,Dextrose 5% injection 500mL
생리식염수500ml,Normal Saline (0.9% NaCl) injection 500mL
